Internship_ID,Company_Name,,Sector,Area_Field,Internship_Title,Internship_State,Internship_District,Benefits,,Mode,Duration_Months,Stipend_Amount,Required_Skills,Application_Deadline,Company_Description,,,Stipend_Type,Requirement_Contact,Eligibility_Education,Eligibility_Experience,Eligibility_Description,Hiring_Workflow
PMIS-2025-00001,AeroDefence Systems,,Aviation & Defence,Information Technology,Sales Intern,Rajasthan,Jaipur,Stipend,,On-site,3,10000,Python; Research Skills; Data Analysis; Communication,06-10-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9253248595,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00002,MetalMines Ltd,,Metals & Mining,Pharma Research,Sales Intern,Gujarat,Bharuch,Stipend,,On-site,3,10000,Communication; Python; Editing,11-10-2025,Mining and metals extraction with sustainable methods.,,,Paid,-9694117878,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00003,RetailMart Ltd,,Retail & Consumer Durables,Marketing,Data Analyst Intern,Rajasthan,Jaipur,Stipend,,Hybrid,6,8000,Research Skills; Communication; Python,12-10-2025,Retail and consumer durables with nationwide presence.,,,Paid,-9831241428,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00004,PharmaLife Pvt Ltd,,Pharmaceutical,Marketing,Finance Intern,Karnataka,Mysuru,Transport Allowance,,On-site,3,8000,Sales Skills; Writing; Chemistry,04-10-2025,Research-driven pharmaceutical and life sciences company.,,,Paid,-9202375116,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00005,TeleLink Pvt Ltd,,Telecom,Agriculture,IT Security Intern,Karnataka,Mysuru,Remote Work,,On-site,6,0,Chemistry; Writing; Editing; Sales Skills,29-10-2025,Telecom services leader in rural and urban connectivity.,,,Unpaid,-9943646879,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00006,AeroDefence Systems,,Aviation & Defence,Agriculture,Maintenance Electrical Intern,West Bengal,Darjeeling,Subsidized Meals,,On-site,3,10000,Sales Skills; Data Analysis; Excel; Writing,07-11-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9011953083,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00007,RetailMart Ltd,,Retail & Consumer Durables,Finance & Accounting,Consulting Intern,Delhi,New Delhi,Transport Allowance,,Hybrid,3,10000,Data Analysis; Sales Skills; Excel; Python,06-10-2025,Retail and consumer durables with nationwide presence.,,,Paid,-9606990420,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00008,ChemEx Pvt Ltd,,Chemical,Cyber Security,IT Security Intern,Gujarat,Surat,Stipend,,Remote,3,10000,Python; Agriculture Basics; Excel; Communication,24-10-2025,Chemical manufacturing and research for diverse industries.,,,Paid,-9557123025,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00009,FMCG Fresh,,FMCG,Maintenance,Marketing Intern,Maharashtra,Mumbai,"Stipend, Meals",,On-site,3,5000,Networking; Agriculture Basics,07-11-2025,Fast-moving consumer goods company with global outreach.,,,Paid,-9593431662,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00010,TravelEase Pvt Ltd,,Travel & Hospitality,Finance & Accounting,Content Intern,Punjab,Ludhiana,Stipend,,On-site,3,3000,Excel; Editing; Networking,01-11-2025,Hospitality and travel solutions provider for modern explorers.,,,Paid,-9741159489,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
